time,A3277,time,B3137,time,C2997,time,D2857,time,E2717,
143,0.48946,143,0.491895,143,0.497722,143,0.495063,143,0.486492,
143.5,0.49119,143.5,0.49226,143.5,0.49778,143.5,0.49648,143.5,0.486338,
144,0.490866,144,0.492816,144,0.498051,144,0.496116,144,0.487319,
144.5,0.490724,144.5,0.494443,144.5,0.500189,144.5,0.497918,144.5,0.488044,
145,0.490571,145,0.494226,145,0.499752,145,0.499147,145,0.488796,
145.5,0.493067,145.5,0.495109,145.5,0.499783,145.5,0.497711,145.5,0.489154,
146,0.492302,146,0.494826,146,0.501329,146,0.498182,146,0.490767,
146.5,0.493112,146.5,0.494877,146.5,0.502043,146.5,0.497897,146.5,0.490632,
147,0.494122,147,0.495583,147,0.502313,147,0.499867,147,0.49047,
147.5,0.492891,147.5,0.498793,147.5,0.503646,147.5,0.499815,147.5,0.493028,
148,0.494376,148,0.497041,148,0.502675,148,0.499214,148,0.491516,
148.5,0.495197,148.5,0.496977,148.5,0.503779,148.5,0.502165,148.5,0.49267,
149,0.496903,149,0.497981,149,0.503278,149,0.500513,149,0.492941,
149.5,0.494798,149.5,0.499539,149.5,0.504211,149.5,0.500969,149.5,0.494378,
150,0.49831,150,0.500543,150,0.505242,150,0.501785,150,0.494447,
