time,A3364,time,B3085,time,C2805,time,D1964,,,,,,,time,,,,,,,,,,,
42.9999,0.394649,42.9999,0.395566,42.9999,0.396353,42.9999,0.394308,9.8577,,1.104856093,0.356886297,8.92215743,8.97317267,42.9999,9.059092187,226.4773047,53.6038  0.1195,,,24.67623731,0.4057276,,0.016548333,9.059092187,362.3636875
43.4999,0.395374,43.4999,0.395872,43.4999,0.396614,43.4999,0.395292,9.8823,,1.09603118,0.360657623,9.016440572,8.9843424,43.4999,9.12258855,228.0647138,54.1586  0.1212,,,24.66883776,0.4064386,,0.016808333,9.12258855,364.903542
43.9999,0.395406,43.9999,0.396742,43.9999,0.39705,43.9999,0.395865,9.896625,,1.088853025,0.363561464,9.089036602,9.059092187,43.9999,9.133988998,228.349725,54.1586  0.1228,,,24.66147061,0.4065376,,0.017086667,9.133988998,365.3595599
44.4999,0.396002,44.4999,0.396989,44.4999,0.397947,44.4999,0.396393,9.909825,,1.07613325,0.368349366,9.208734143,9.12258855,44.4999,9.200297657,230.0074414,54.1586  0.1244,,,24.65357685,0.407704,,0.017346667,9.200297657,368.0119063
44.9999,0.396895,44.9999,0.398054,44.9999,0.398513,44.9999,0.396991,9.924775,,1.081584618,0.367045715,9.176142884,9.133988998,44.9999,9.178309314,229.4577328,54.7132  0.126,,,24.64550963,0.408221,,0.017608333,9.178309314,367.1323726
45.4999,0.398104,45.4999,0.39851,45.4999,0.399567,45.4999,0.397736,9.9434,,1.097258168,0.362481695,9.062042365,9.200297657,45.4999,9.159885335,228.9971334,54.7132  0.1277,,,24.63795173,0.408445,,0.017885,9.159885335,366.3954134
45.9999,0.397708,45.9999,0.398682,45.9999,0.399439,45.9999,0.397796,9.9449,,1.063140008,0.374170849,9.354271235,9.178309314,45.9999,9.222102879,230.552572,55.2679  0.1277,,,24.62899261,0.4090394,,0.01815,9.222102879,368.8841152
46.5,0.397926,46.5,0.398951,46.5,0.39968,46.5,0.398292,9.9573,,1.091715748,0.364831231,9.120780772,9.159885335,46.5,9.161167805,229.0291951,55.8225  0.1293,,,24.62081012,0.4096254,,0.018428333,9.161167805,366.4467122
46.9999,0.398934,46.9999,0.399672,46.9999,0.400775,46.9999,0.39862,9.9655,,1.094815497,0.364097879,9.102446968,9.222102879,46.9999,9.223752076,230.5938019,56.3772  0.1309,,,24.61268996,0.4101896,,0.01869,9.223752076,368.950083
47.4999,0.399414,47.4999,0.400438,47.4999,0.400949,47.4999,0.399571,9.989275,,1.07285671,0.372436502,9.310912542,9.161167805,47.4999,9.328960277,233.2240069,56.3772  0.1326,,,24.60475471,0.4107048,,0.01895,9.328960277,373.1584111
48,0.400254,48,0.400907,48,0.401308,48,0.39993,9.99825,,1.097438785,0.364421237,9.110530937,9.223752076,48,9.292357928,232.3089482,56.9318  0.1342,,,24.59679382,0.4110892,,0.019226667,9.292357928,371.6943171
48.4999,0.400814,48.4999,0.401269,48.4999,0.401931,48.4999,0.400244,10.0061,,1.067759488,0.374844714,9.371117856,9.328960277,48.4999,9.3279269,233.1981725,56.9318  0.1358,,,24.58821914,0.4120164,,0.01949,9.3279269,373.117076
49,0.401278,49,0.401887,49,0.40256,49,0.401303,10.032575,,1.053478973,0.380931191,9.523279774,9.292357928,49,9.304407184,232.6101796,57.4865  0.1358,,,24.5800445,0.4124566,,0.01977,9.304407184,372.1762874
49.5,0.40141,49.5,0.402512,49.5,0.403461,49.5,0.401674,10.04185,,1.095733161,0.366580126,9.164503143,9.3279269,49.5,9.250244177,231.2561044,58.0411  0.1375,,,24.57163364,0.4129626,,0.020031667,9.250244177,370.0097671
50,0.402471,50,0.402948,50,0.403296,50,0.402409,10.060225,,1.087261972,0.370112273,9.252806825,9.304407184,50,9.322837182,233.0709296,58.0411  0.1391,,,24.56359146,0.4135658,,0.020293333,9.322837182,372.9134873
50.4999,0.402654,50.4999,0.403235,50.4999,0.404564,50.4999,0.402864,10.0716,,1.085648126,0.37108156,9.277038992,9.250244177,50.4999,9.315712975,232.8928244,58.0411  0.1407,,,24.55436576,0.4141208,,0.02057,9.315712975,372.628519
50.9999,0.403022,50.9999,0.403711,50.9999,0.404497,50.9999,0.403112,10.0778,,1.082862695,0.37226511,9.306627748,9.322837182,50.9999,9.376233208,234.4058302,58.5957  0.1424,,,24.54545865,0.4148508,,0.020835,9.376233208,375.0493283
51.5,0.403376,51.5,0.404173,51.5,0.404829,51.5,0.403767,10.094175,,1.067615894,0.378195007,9.454875164,9.315712975,51.5,9.365192854,234.1298213,58.5957  0.144,,,24.53671433,0.4149002,,0.021098333,9.365192854,374.6077142
51.9999,0.403617,51.9999,0.4047,51.9999,0.405595,51.9999,0.403774,10.09435,,1.094320335,0.3689724,9.224309995,9.376233208,51.9999,9.345547768,233.6386942,59.1504  0.1456,,,24.52822904,0.4153876,,0.021376667,9.345547768,373.8219107
52.4999,0.404122,52.4999,0.404925,52.4999,0.405665,52.4999,0.404304,10.1076,,1.061820849,0.380764797,9.519119924,9.365192854,52.4999,9.381336045,234.5334011,59.705  0.1456,,,24.51925041,0.4161154,,0.021638333,9.381336045,375.2534418
53,0.404966,53,0.405851,53,0.406622,53,0.405088,10.1272,,1.0933589,0.370498653,9.262466331,9.345547768,53,9.35784758,233.9461895,60.2597  0.1456,,,24.51026575,0.4166626,,0.021916667,9.35784758,374.3139032
53.4999,0.405712,53.4999,0.40628,53.4999,0.406753,53.4999,0.405354,10.13385,,1.080794727,0.375051793,9.376294821,9.381336045,53.4999,9.374363528,234.3590882,60.8144  0.1473,,,24.50126051,0.4178686,,0.02218,9.374363528,374.9745411
53.9999,0.405605,53.9999,0.406498,53.9999,0.407333,53.9999,0.405935,10.148375,,1.083364288,0.374698524,9.367463106,9.35784758,53.9999,9.413596954,235.3399238,61.369  0.1489,,,24.49267507,0.4176836,,0.02244,9.413596954,376.5438782
